time,prices,quantities,prodID,retID,description
2024-01-01,0.01,101,3147,2,Clothes hangers 10pk (variant 210)
2024-01-01,0.01,38,2099,2,Doormat 60x40cm (variant 140)
2024-01-01,30.23,75,2519,2,Doormat 60x40cm (variant 168)
2024-01-01,99.46,26,2102,2,Phone case (variant 141)
2024-02-01,13.71,80,2940,2,Cotton socks 3pk (variant 197)
2024-02-01,20.49,53,3116,1,Jacket windbreaker (variant 208)
2024-02-01,0.01,96,2388,1,Hoodie fleece (variant 160)
2024-01-01,0.01,291,2913,1,Red apples 1kg (variant 117)
2024-01-01,7.09,25,2796,2,Scarf wool blend (variant 187)
2024-01-01,22.05,130,3215,2,Paper towels 4pk (variant 215)
2024-01-01,3.72,324,2121,2,Honey 500g (variant 85)
2024-02-01,171.27,35,2790,1,USB-C cable 1m (variant 187)
2024-01-01,22.69,28,2371,2,Kitchen sponge 3pk (variant 159)
2024-02-01,50.73,36,2066,1,Portable speaker (variant 138)
2024-02-01,13.75,4,3178,2,Keyboard wrist rest (variant 212)
2024-01-01,0.01,31,2422,2,Webcam 1080p (variant 162)
2024-02-01,7.43,97,2737,1,Bananas 1kg (variant 110)
2024-02-01,29.15,75,3156,1,Scarf wool blend (variant 211)
2024-02-01,0.01,483,2341,1,Instant coffee 200g (variant 94)
2024-02-01,0.01,29,3167,2,Trash bags 30L (variant 212)
2024-01-01,0.01,372,2165,2,Dark chocolate 100g (variant 87)
2024-02-01,0.01,98,2441,2,Instant coffee 200g (variant 98)
2024-02-01,0.01,25,3370,1,Wireless charger (variant 225)
2024-02-01,6.29,105,3037,2,Bananas 1kg (variant 122)
2024-02-01,45.32,36,2732,1,Jeans slim fit (variant 183)
2024-01-01,0.01,31,2256,1,Scarf wool blend (variant 151)
2024-01-01,8.3,48,3142,2,Webcam 1080p (variant 210)
2024-02-01,3.98,363,2181,1,Basmati rice 1kg (variant 88)
2024-02-01,5.13,351,2257,1,Pasta penne 500g (variant 91)
2024-01-01,0.01,160,2651,2,Storage box 10L (variant 177)
2024-02-01,0.01,351,3145,2,Almond butter 350g (variant 126)
2024-01-01,1.27,163,3075,1,Cotton bath towel (variant 206)
2024-02-01,0.01,181,3083,2,Curtains blackout pair (variant 206)
2024-02-01,80.76,35,2598,1,Screen protector (variant 174)
2024-02-01,0.01,47,2751,1,Candles scented set (variant 184)
2024-01-01,7.4,29,2450,2,Bluetooth earbuds (variant 164)
2024-01-01,0.01,5,2672,1,Jeans slim fit (variant 179)
2024-01-01,2.16,237,2129,2,Greek yogurt 500g (variant 86)
2024-01-01,0.01,77,2372,1,Jeans slim fit (variant 159)
2024-01-01,32.8,32,2334,1,SD card 64GB (variant 156)
2024-02-01,29.73,24,2484,1,Underwear briefs 3pk (variant 166)
2024-01-01,46.8,64,2264,2,Sweatpants joggers (variant 151)
2024-01-01,36.03,36,2618,1,USB hub 4-port (variant 175)
2024-01-01,38.98,45,2390,1,Bluetooth earbuds (variant 160)
2024-02-01,0.01,194,3411,1,Candles scented set (variant 228)
2024-01-01,1.06,134,2529,1,Greek yogurt 500g (variant 102)
2024-02-01,7.23,53,2427,1,Clothes hangers 10pk (variant 162)
2024-01-01,0.01,53,3201,1,Sourdough bread 500g (variant 129)
2024-02-01,0.01,5,2478,2,Screen protector (variant 166)
2024-02-01,111.07,50,2562,2,LED desk lamp (variant 171)
2024-02-01,0.01,448,2901,1,Sourdough bread 500g (variant 117)
2024-02-01,107.4,42,2522,1,Phone case (variant 169)
2024-02-01,53.7,30,2918,1,USB hub 4-port (variant 195)
2024-02-01,0.01,254,2637,2,Bananas 1kg (variant 106)
2024-01-01,18.37,75,2020,1,Polo shirt (variant 135)
2024-02-01,9.73,12,2538,1,Screen protector (variant 170)
2024-01-01,0.01,1,3038,1,USB hub 4-port (variant 203)
2024-02-01,0.01,30,2010,2,USB-C cable 1m (variant 135)
2024-02-01,36.64,66,2915,1,Paper towels 4pk (variant 195)
2024-01-01,0.01,73,2980,1,Polo shirt (variant 199)
2024-01-01,0.01,98,2284,2,Sneakers casual (variant 153)
2024-01-01,53.41,99,3023,2,Curtains blackout pair (variant 202)
2024-02-01,0.12,472,2273,2,Soy sauce 500ml (variant 91)
2024-02-01,0.01,260,2293,2,Orange juice 1L (variant 92)
2024-01-01,76.49,32,2454,2,SD card 64GB (variant 164)
2024-02-01,6.49,132,3367,1,Picture frame A4 (variant 225)
2024-02-01,4.21,41,2702,2,Phone case (variant 181)
2024-02-01,16.33,138,2555,2,Paper towels 4pk (variant 171)
2024-02-01,103.2,8,2986,2,Wireless mouse (variant 200)
2024-01-01,29.32,37,2604,1,Underwear briefs 3pk (variant 174)
2024-02-01,6.26,10,3004,2,Sneakers casual (variant 201)
2024-02-01,0.01,179,2815,1,Cutting board bamboo (variant 188)
2024-02-01,45.81,62,2224,2,Sneakers casual (variant 149)
2024-02-01,0.01,33,3121,1,Honey 500g (variant 125)
2024-01-01,0.01,14,3112,1,Cap baseball (variant 208)
2024-01-01,0.01,10,2022,1,LED desk lamp (variant 135)
2024-01-01,0.01,34,2992,2,Cap baseball (variant 200)
2024-02-01,81.84,7,2574,1,SD card 64GB (variant 172)
2024-02-01,8.37,16,2624,2,Sweatpants joggers (variant 175)
2024-01-01,19.98,50,2960,1,Belt leather (variant 198)
2024-02-01,0.02,124,2337,2,Bananas 1kg (variant 94)
2024-01-01,106.38,45,2774,1,Mouse pad XL (variant 185)
2024-01-01,1.48,181,2347,2,Picture frame A4 (variant 157)
2024-01-01,3.37,451,2457,1,Pasta penne 500g (variant 99)
2024-01-01,0.01,147,2195,1,Paper towels 4pk (variant 147)
2024-02-01,0.01,91,2092,1,Cap baseball (variant 140)
2024-02-01,31.88,124,2803,2,Shower curtain (variant 187)
2024-02-01,0.01,45,3016,1,T-shirt plain (variant 202)
2024-02-01,54.66,36,2064,1,Underwear briefs 3pk (variant 138)
2024-02-01,4.17,164,2573,2,Soy sauce 500ml (variant 103)
2024-02-01,0.01,73,3160,2,Polo shirt (variant 211)
2024-02-01,59.38,12,3170,1,Bluetooth earbuds (variant 212)
2024-02-01,0.01,20,2966,1,Portable speaker (variant 198)
2024-01-01,3.84,86,2804,1,Sweatpants joggers (variant 187)
2024-02-01,28.54,94,2867,2,Trash bags 30L (variant 192)
2024-02-01,0.01,29,2584,1,Sneakers casual (variant 173)
2024-02-01,0.01,27,3492,1,Shorts chino (variant 233)
2024-02-01,0.01,14,2756,2,Jacket windbreaker (variant 184)
2024-01-01,0.01,122,2231,1,Storage box 10L (variant 149)
2024-02-01,0.01,88,2937,1,Bananas 1kg (variant 118)
2024-01-01,0.01,131,3127,1,Picture frame A4 (variant 209)
2024-01-01,9.73,149,2141,1,Instant coffee 200g (variant 86)
2024-02-01,5.19,100,3399,1,Pillow insert 50x70cm (variant 227)
2024-01-01,0.01,189,2987,1,Trash bags 30L (variant 200)
2024-01-01,0.01,152,3089,1,Baby spinach 200g (variant 124)
2024-02-01,47.89,17,2254,1,Power bank 10000mAh (variant 151)
2024-01-01,0.01,293,2681,2,Basmati rice 1kg (variant 108)
2024-01-01,0.01,57,2744,2,Sweatpants joggers (variant 183)
2024-02-01,0.01,30,2431,1,Kitchen sponge 3pk (variant 163)
2024-01-01,96.27,49,2506,2,Wireless mouse (variant 168)
2024-01-01,26.02,76,2108,1,Gloves winter (variant 141)
2024-02-01,2.46,493,2617,1,Green tea bags 50pk (variant 105)
2024-01-01,0.01,155,2579,1,Doormat 60x40cm (variant 172)
2024-02-01,0.01,20,2900,1,Belt leather (variant 194)
2024-02-01,89.29,45,2462,2,Phone case (variant 165)
2024-01-01,60.04,69,2012,1,Jeans slim fit (variant 135)
2024-01-01,0.01,5,3302,2,Phone case (variant 221)
2024-02-01,77.23,35,2020,1,Polo shirt (variant 135)
2024-02-01,68.06,37,2896,2,T-shirt plain (variant 194)
2024-01-01,0.01,207,2941,1,Instant coffee 200g (variant 118)
2024-01-01,2.11,354,2773,2,Soy sauce 500ml (variant 111)
2024-01-01,0.01,49,2071,2,Kitchen sponge 3pk (variant 139)
2024-01-01,0.01,481,2077,1,Free-range eggs 12pk (variant 84)
2024-01-01,1.61,419,2561,2,Avocados 4pk (variant 103)
2024-02-01,0.01,38,3033,2,Canned tomatoes 400g (variant 122)
